CoCID,CoCName,y2015,15funding,perCap15,y2016,16funding,perCap16,pop15-16,fund15-16,y2017,17funding,perCap17,pop16-17,fund16-17,y2018,18funding,perCap18,pop17-18,fund17-18,y2019,19funding,perCap19,pop18-19,fund18-19,avgPop,avgFund
TN-503,Central Tennessee CoC,268,1819533,6789.302239,296,1816073,6135.381757,28,-653.920482,285,1783153,6256.677193,-11,121.2954362,268,1862709,6950.406716,-17,693.7295234,357,1931293,5409.784314,89,-1540.622403,294.8,6308.310444
NY-607,Sullivan County CoC,130,394588,3035.292308,163,366967,2251.331288,33,-783.9610193,167,303643,1818.221557,4,-433.1097315,189,281080,1487.195767,22,-331.0257897,162,265715,1640.216049,-27,153.0202822,162.2,2046.451394
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",164,1257604,7668.317073,195,1258363,6453.14359,31,-1215.173483,210,1239738,5903.514286,15,-549.629304,204,1430323,7011.387255,-6,1107.872969,255,1590352,6236.67451,51,-774.7127451,205.6,6654.607343
TX-600,"Dallas City & County, Irving CoC",3141,16629599,5294.364534,3810,15979190,4194.013123,669,-1100.35141,3789,15725259,4150.239905,-21,-43.77321837,4121,16562289,4018.997573,332,-131.2423316,4538,17036008,3754.078449,417,-264.9191247,3879.8,4282.338717
OK-504,Norman/Cleveland County CoC,133,373113,2805.360902,138,408358,2959.115942,5,153.7550398,174,402933,2315.706897,36,-643.4090455,364,431668,1185.901099,190,-1129.805798,347,426422,1228.881844,-17,42.98074548,231.2,2098.993337
MA-502,Lynn CoC,445,1784969,4011.166292,541,1732766,3202.89464,96,-808.2716526,582,1793614,3081.810997,41,-121.083643,1061,1908352,1798.63525,479,-1283.175747,1035,2297466,2219.773913,-26,421.1386633,732.8,2862.856218
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",140,3120929,22292.35,160,3110204,19438.775,20,-2853.575,162,3200761,19757.78395,2,319.0089506,178,3248035,18247.38764,16,-1510.39631,168,3443985,20499.91071,-10,2252.523074,161.6,20047.24146
NY-519,"Columbia, Greene Counties CoC",97,451459,4654.216495,116,450923,3887.267241,19,-766.9492535,144,450819,3130.6875,28,-756.5797414,196,464344,2369.102041,52,-761.5854592,200,517778,2588.89,4,219.7879592,150.6,3326.032655
GA-502,Fulton County CoC,473,2795919,5911.033827,483,2604210,5391.73913,10,-519.2946962,293,2495096,8515.686007,-190,3123.946876,222,2497367,11249.4009,-71,2733.714894,632,2430457,3845.65981,410,-7403.741091,420.6,6982.703935
CA-502,"Oakland, Berkeley/Alameda County CoC",4040,28980863,7173.480941,4145,33998867,8202.380458,105,1028.899518,5629,34329783,6098.735655,1484,-2103.644804,5496,37648221,6850.112991,-133,751.3773366,8022,36369614,4533.733982,2526,-2316.37901,5466.4,6571.688805
MD-500,Cumberland/Allegany County CoC,96,699622,7287.729167,124,650648,5247.16129,28,-2040.567876,118,661652,5607.220339,-6,360.0590487,79,668444,8461.316456,-39,2854.096117,145,625121,4311.17931,66,-4150.137145,112.4,6182.921312
CA-503,Sacramento City & County CoC,2659,19138664,7197.692366,2500,19511838,7804.7352,-159,607.0428344,3665,19599048,5347.625648,1165,-2457.109552,3621,20915190,5776.081193,-44,428.455545,5561,23349292,4198.757777,1940,-1577.323416,3601.2,6064.978437
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",29,210878,7271.655172,23,217879,9473,-6,2201.344828,83,201899,2432.518072,60,-7040.481928,145,199474,1375.682759,62,-1056.835314,96,254503,2651.072917,-49,1275.390158,75.2,4640.785784
MD-510,Garrett County CoC,9,255878,28430.88889,20,237274,11863.7,11,-16567.18889,10,242699,24269.9,-10,12406.2,15,244208,16280.53333,5,-7989.366667,12,229819,19151.58333,-3,2871.05,13.2,19999.32111
